Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
88,0.0937,0.8462,4.3991,0.5257,0.5805,0.5257,0.5229,0.2801,0.2776,0.5495,0.3734,0.7169
89,0.0938,0.8464,4.3908,0.5267,0.5809,0.5267,0.5243,0.2813,0.2767,0.5495,0.3770,0.7157
90,0.0940,0.8457,4.4101,0.5261,0.5799,0.5261,0.5237,0.2803,0.2785,0.5495,0.3765,0.7144
91,0.0938,0.8459,4.4160,0.5253,0.5796,0.5253,0.5229,0.2794,0.2750,0.5505,0.3750,0.7146
92,0.0946,0.8445,4.4014,0.5257,0.5796,0.5257,0.5236,0.2797,0.2758,0.5486,0.3772,0.7133
93,0.0943,0.8461,4.4084,0.5257,0.5809,0.5257,0.5222,0.2800,0.2750,0.5468,0.3699,0.7213
94,0.0942,0.8456,4.3972,0.5267,0.5812,0.5267,0.5245,0.2815,0.2750,0.5495,0.3776,0.7153
95,0.0942,0.8457,4.4021,0.5257,0.5801,0.5257,0.5233,0.2800,0.2758,0.5486,0.3753,0.7154
96,0.0936,0.8454,4.4189,0.5253,0.5801,0.5253,0.5229,0.2796,0.2767,0.5486,0.3749,0.7147
97,0.0940,0.8457,4.4175,0.5261,0.5799,0.5261,0.5235,0.2799,0.2750,0.5468,0.3758,0.7162
98,0.0934,0.8463,4.4090,0.5253,0.5813,0.5253,0.5219,0.2801,0.2741,0.5495,0.3694,0.7207
99,0.0946,0.8454,4.4258,0.5262,0.5799,0.5262,0.5234,0.2801,0.2767,0.5477,0.3750,0.7168
100,0.0943,0.8450,4.4035,0.5263,0.5801,0.5263,0.5238,0.2804,0.2758,0.5495,0.3764,0.7154
