epoch,beta,beta_event,lr,grad_norm,train_recon,train_kl,train_interv,train_total,train_aux_pres,train_aux_type,train_aux_prox,val_recon,val_kl,val_interv,val_total,val_aux_pres,val_aux_type,val_aux_prox,val_raw_kl,val_ref_elbo,pres_changed_frac,type_changed_frac
11,0.0,→hold,0.000293,0.0,6.465908994302139e-07,0.0,0.0,6.465908994302139e-07,0.0,0.0,0.0,2.997155534632665e-07,0.0,0.0,2.997155534632665e-07,0.0,0.0,0.0,0.015190990755289065,0.015191290470842528,0.0,0.0
12,0.0,→hold,0.000292,0.0,3.692095067947567e-07,0.0,0.0,3.692095067947567e-07,0.0,0.0,0.0,1.5957623597585541e-07,0.0,0.0,1.5957623597585541e-07,0.0,0.0,0.0,0.019961994730042128,0.019962154306278103,0.0,0.0
13,0.0,→hold,0.00029,0.0001,2.2173046853098152e-07,0.0,0.0,2.2173046853098152e-07,0.0,0.0,0.0,1.0094213821810541e-07,0.0,0.0,1.0094213821810541e-07,0.0,0.0,0.0,0.02612947853759113,0.026129579479729347,0.0,0.0
14,0.0,→hold,0.000289,0.0001,1.6825562864130018e-07,0.0,0.0,1.6825562864130018e-07,0.0,0.0,0.0,8.199552135371361e-08,0.0,0.0,8.199552135371361e-08,0.0,0.0,0.0,0.03395111682802075,0.033951198823542104,0.0,0.0
15,0.0,→hold,0.000288,0.0001,1.5593909809721682e-07,0.0,0.0,1.5593909809721682e-07,0.0,0.0,0.0,1.0438227756403315e-07,0.0,0.0,1.0438227756403315e-07,0.0,0.0,0.0,0.04396522123881472,0.04396532562109228,0.0,0.0
16,0.0,→hold,0.000286,0.0001,1.6243301663990045e-07,0.0,0.0,1.6243301663990045e-07,0.0,0.0,0.0,1.4504007245456365e-07,0.0,0.0,1.4504007245456365e-07,0.0,0.0,0.0,0.056184881987671055,0.05618502702774351,0.0,0.0
17,0.0,→hold,0.000284,0.0002,1.665578922298168e-07,0.0,0.0,1.665578922298168e-07,0.0,0.0,0.0,1.1601044074073406e-07,0.0,0.0,1.1601044074073406e-07,0.0,0.0,0.0,0.07319269109729344,0.07319280710773418,0.0,0.0
18,0.0,→hold,0.000283,0.0002,1.5905432153957922e-07,0.0,0.0,1.5905432153957922e-07,0.0,0.0,0.0,1.2488245084472792e-07,0.0,0.0,1.2488245084472792e-07,0.0,0.0,0.0,0.09864972910381914,0.09864985398626998,0.0,0.0
19,0.0,→hold,0.000281,0.0002,1.5236232363272925e-07,0.0,0.0,1.5236232363272925e-07,0.0,0.0,0.0,1.217105117900442e-07,0.0,0.0,1.217105117900442e-07,0.0,0.0,0.0,0.1391596581817158,0.13915977989222758,0.0,0.0
20,0.0,→hold,0.000279,0.0002,1.4504494371476737e-07,0.0,0.0,1.4504494371476737e-07,0.0,0.0,0.0,1.1939523942236134e-07,0.0,0.0,1.1939523942236134e-07,0.0,0.0,0.0,0.2088893936810697,0.20888951307630912,0.0,0.0
21,0.0,→hold,0.000277,0.0002,1.4094936423247835e-07,0.0,0.0,1.4094936423247835e-07,0.0,0.0,0.0,1.1188260166927574e-07,0.0,0.0,1.1188260166927574e-07,0.0,0.0,0.0,0.3190502154875577,0.31905032737015937,0.0,0.0
