epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
10,0.21999999999999997,↑,3.0492360983066216,123.81641443287899,619.0820645195281,0.4594977291579732,129.51294629431055,0.7151,0.6029,0.3609,0.4659,3.02433195439252,618.9063153661691,618.9063153661691,0.43937543499005305,624.7479725245273,0.6851,0.5749,0.2827,0.4557,621.9306473205617
11,0.23999999999999996,↑,3.0572634533136904,136.1772030096211,618.9873169295802,0.45962986883646,141.89315171427356,0.7106,0.5984,0.3548,0.4605,3.020152883741247,618.820735612473,618.820735612473,0.43990252321803724,624.6663146798229,0.6727,0.5626,0.2783,0.4549,621.8408884962142
12,0.25999999999999995,↑,3.064011747108962,148.53783799252824,618.907688837137,0.4601437876324454,154.27292144255725,0.705,0.5929,0.3475,0.454,3.039936516063038,618.7550329119612,618.7550329119612,0.4402918169895808,624.6269962297373,0.6669,0.557,0.2866,0.4515,621.7949694280242
13,0.27999999999999997,↑,3.071900063931585,160.8985646467723,618.8406638010533,0.4601697789337821,166.6497641507737,0.7008,0.589,0.3445,0.4506,3.019369984085942,618.6853757646435,618.6853757646435,0.44065222640832263,624.5451365523525,0.6536,0.5442,0.2797,0.4511,621.7047457487295
14,0.3,↑,3.079073539429796,173.2586783221025,618.780970027204,0.46001802783704804,179.02402833835808,0.6958,0.5838,0.3401,0.4473,3.025144517679751,618.6489560184153,618.6489560184153,0.44052924489949175,624.5169395481869,0.6529,0.5435,0.283,0.4552,621.6741005360951
15,0.32,↑,3.0851731536274185,185.61846918533305,618.7282102479193,0.4604297499813719,191.39728890793052,0.6934,0.5814,0.3344,0.442,3.0352264375655684,618.5981109979607,618.5981109979607,0.4404903272916744,624.4814805416834,0.6518,0.5424,0.279,0.4499,621.6333374355263
16,0.34,↑,3.092104902488743,197.97870841620568,618.6834943302734,0.4605869690636675,203.77196423650503,0.6887,0.5765,0.3337,0.4408,3.0472656739996626,618.538247633161,618.538247633161,0.44093912901171356,624.4428641383266,0.6334,0.5249,0.2764,0.4556,621.5855133071606
17,0.36000000000000004,↑,3.0992301290263673,210.3377916705287,618.6405493704145,0.46027587803894887,216.1448959055061,0.6872,0.5754,0.3283,0.4358,3.0297608098168394,618.536311076704,618.536311076704,0.4404448447224898,624.4207952729552,0.6397,0.5309,0.2836,0.4437,621.5660718865208
18,0.38000000000000006,↑,3.104454805965195,222.69846546717747,618.6068366318406,0.46073075289319376,228.51940412007406,0.6836,0.5718,0.3236,0.4307,3.046550159330492,618.4898230720521,618.4898230720521,0.44078457532894044,624.3979355994757,0.6299,0.5217,0.2744,0.4498,621.5363732313826
19,0.4000000000000001,↑,3.110785201566662,235.05690619585042,618.570796146971,0.4604905183979137,240.8885113336369,0.682,0.5702,0.3205,0.4285,3.0555211135319302,618.4844593891463,618.4844593891463,0.440817004738948,624.40017656124,0.6288,0.5206,0.2741,0.4495,621.5399805026782
20,0.4200000000000001,↑,3.1171221788771852,247.41694415254508,618.5423527447763,0.4605698585688711,253.25850617956974,0.6812,0.5695,0.3187,0.425,3.0963833772000813,618.44397185659,618.44397185659,0.4413636330337751,624.4080896325958,0.6246,0.5167,0.274,0.4495,621.54035523379
